start,end,duration_min,peak_mm,mean_mm,duration
2024-08-01 05:10:33,2024-08-01 05:16:33,7,3353.778,3343.5094285714285,7min
2024-08-01 05:19:33,2024-08-01 05:20:33,2,3339.402,3172.684,2min
2024-08-01 05:25:33,2024-08-01 05:26:33,2,3344.271,3341.8365000000003,2min
2024-08-01 05:29:34,2024-08-01 05:29:34,1,3346.59,3346.59,1min
2024-08-01 05:32:33,2024-08-01 05:33:33,2,3344.271,3192.0455,2min
2024-08-01 05:37:33,2024-08-01 05:37:33,1,3293.491,3293.491,1min
2024-08-01 05:43:33,2024-08-01 05:45:33,3,3344.271,3250.825666666667,3min
2024-08-01 05:47:33,2024-08-01 05:54:33,8,3008.516,3004.835375,8min
2024-08-01 05:56:33,2024-08-01 05:57:33,2,3005.966,3005.966,2min
2024-08-01 05:59:33,2024-08-01 06:31:33,33,3617.188,3250.593909090909,33min
2024-08-01 06:37:33,2024-08-01 06:38:33,2,3351.459,3176.3935,2min
2024-08-01 06:40:33,2024-08-01 06:46:33,7,3013.386,3006.7277142857142,7min
2024-08-01 06:48:33,2024-08-01 06:50:33,3,3003.647,3003.6469999999995,3min
2024-08-01 06:52:33,2024-08-01 06:53:33,2,3003.647,3003.647,2min
2024-08-01 07:02:33,2024-08-01 12:17:33,316,3626.695,3381.055753164557,5h 16min
2024-08-01 12:21:33,2024-08-01 12:21:33,1,3003.647,3003.647,1min
2024-08-14 02:30:33,2024-08-14 03:50:33,81,3624.376,3596.10475308642,1h 21min
2024-08-14 03:52:33,2024-08-14 03:57:33,6,3329.663,3287.036666666667,6min
2024-08-14 04:01:33,2024-08-14 04:01:33,1,3336.851,3336.851,1min
2024-08-14 04:09:33,2024-08-14 04:13:33,5,3349.141,3202.2248,5min
2024-08-14 04:17:33,2024-08-14 08:50:33,274,3622.058,3283.0114452554744,4h 34min
2024-08-16 17:58:33,2024-08-16 20:35:33,158,3233.203,3100.840689873418,2h 38min
2024-08-20 18:38:33,2024-08-20 21:04:33,147,3525.366,3311.7851292517007,2h 27min
2024-08-24 16:51:33,2024-08-24 19:18:33,148,3619.507,3331.9991689189187,2h 28min
2024-08-24 19:25:33,2024-08-24 19:26:33,2,3005.966,3004.8064999999997,2min
